
===== clang++-22  group 10  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
8MyFatIntILm8EE        none_of(hit)                    0.289     0.294    +1.7%     0.294    +1.7%     0.289    +0.0%
8MyFatIntILm8EE        none_of(miss)                   0.131     0.133    +1.5%     0.132    +0.8%     0.131    +0.0%
8MyFatIntILm8EE        replace(hit)                    0.451     0.454    +0.7%     0.452    +0.2%     0.452    +0.2%
8MyFatIntILm8EE        replace(miss)                   0.286     0.295    +3.1%     0.290    +1.4%     0.288    +0.7%
8MyFatIntILm8EE        replace_if(hit)                 0.451     0.461    +2.2%     0.462    +2.4%     0.451    +0.0%
8MyFatIntILm8EE        replace_if(miss)                0.310     0.367   +18.4%     0.369   +19.0%     0.322    +3.9%

===== g++-16  group 25  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
5MyInt                 copy(1+2S)                      0.147     0.148    +0.7%     0.141    -4.1%     0.147    +0.0%
5MyInt                 copy(1S)                        0.135     0.133    -1.5%     0.134    -0.7%     0.135    +0.0%
5MyInt                 copy(2S)                        0.132     0.132    +0.0%     0.132    +0.0%     0.132    +0.0%
5MyInt                 copy_n(1+2S)                    0.141     0.141    +0.0%     0.141    +0.0%     0.140    -0.7%
5MyInt                 copy_n(1S)                      0.135     0.134    -0.7%     0.135    +0.0%     0.134    -0.7%
5MyInt                 copy_n(2S)                      0.131     0.131    +0.0%     0.131    +0.0%     0.131    +0.0%
5MyInt                 swap_ranges(1+2S)               0.265     0.265    +0.0%     0.265    +0.0%     0.265    +0.0%
5MyInt                 swap_ranges(1S)                 0.250     0.250    +0.0%     0.250    +0.0%     0.250    +0.0%
5MyInt                 swap_ranges(2S)                 0.252     0.252    +0.0%     0.252    +0.0%     0.252    +0.0%
5MyInt                 transform(1+2S)                 0.171     0.171    +0.0%     0.171    +0.0%     0.171    +0.0%
5MyInt                 transform(1S)                   0.176     0.176    +0.0%     0.176    +0.0%     0.176    +0.0%
